id	instruction	input	output
l0613	Uppercase:	dgdjho	DGDJHO
l0614	Reverse:	kurg	gruk
l0615	Sort letters:	fbcry	bcfry
l0616	Sort letters:	lmdmh	dhlmm
l0617	Reverse:	odmbu	ubmdo
l0618	Reverse:	hwlc	clwh
l0619	Sort letters:	jjq	jjq
l0620	Repeat:	exactly déjà the	exactly déjà the
l0621	Reverse:	cqxvn	nvxqc
l0622	Sort letters:	qpabppml	ablmpppq
l0623	Reverse:	txwv	vwxt
l0624	Reverse:	tjvfjlqx	xqljfvjt
l0625	Sort letters:	miui	iimu
l0626	Uppercase:	fnmoz	FNMOZ
l0627	Count vowels:	cwqsoq	1
l0628	Reverse:	akbbgt	tgbbka
l0629	Reverse:	veb	bev
l0630	Uppercase:	kgsk	KGSK
l0631	Reverse:	wuvei	ievuw
l0632	Reverse:	ezmzekuz	zukezmze
l0633	Sort letters:	iqvgu	giquv
l0634	Reverse:	eqgtec	cetgqe
l0635	Sort letters:	qgix	giqx
l0636	Uppercase:	ujhcpa	UJHCPA
l0637	Length:	vizrcfrj	8
l0638	Reverse:	dwrhpfn	nfphrwd
l0639	Repeat:	token to a	token to a
l0640	Reverse:	fdtzjzfj	jfzjztdf
l0641	Reverse:	mbx	xbm
l0642	Reverse:	ufsgek	kegsfu
l0643	Sort letters:	mtcddzd	cdddmtz
l0644	Sort letters:	fjldb	bdfjl
l0645	Uppercase:	lgqh	LGQH
l0646	Uppercase:	ophgdjrr	OPHGDJRR
l0647	Repeat:	a losing losing	a losing losing
l0648	Count vowels:	tfuav	2
l0649	Count vowels:	jpkjbn	0
l0650	Repeat:	quick loss	quick loss
l0651	Sort letters:	bxpbm	bbmpx
l0652	Length:	xv	2
l0653	Uppercase:	tpot	TPOT
l0654	Sort letters:	uzobouo	booouuz
l0655	Repeat:	"déjà
señor every"	"déjà
señor every"
l0656	Length:	xnucotyiv	9
l0657	Sort letters:	lqtmglzb	bgllmqtz
l0658	Reverse:	bojcpkyk	kykpcjob
l0659	Sort letters:	woou	oouw
l0660	Sort letters:	ubeyrmpp	bemppruy
l0661	Repeat:	character ’n’ and exactly	character ’n’ and exactly
l0662	Sort letters:	nsnqkdf	dfknnqs
l0663	Repeat:	a ’n’ to loss	a ’n’ to loss
l0664	Reverse:	vhyunbk	kbnuyhv
l0665	Repeat:	and ’n’ jalapeño back parser of loss résumé	and ’n’ jalapeño back parser of loss résumé
l0666	Repeat:	learns single parser small to copy to señor without jalapeño	learns single parser small to copy to señor without jalapeño
l0667	Sort letters:	kaziagz	aagikzz
l0668	Uppercase:	khehyv	KHEHYV
l0669	Uppercase:	anqm	ANQM
l0670	Reverse:	zxccizg	gziccxz
l0671	Reverse:	adwkh	hkwda
l0672	Sort letters:	ylc	cly
l0673	Sort letters:	bltrchw	bchlrtw
l0674	Repeat:	"line
naïve über"	"line
naïve über"
l0675	Reverse:	jttnt	tnttj
l0676	Length:	exjtohv	7
l0677	Reverse:	cuocs	scouc
l0678	Uppercase:	wterldf	WTERLDF
l0679	Reverse:	nvg	gvn
l0680	Reverse:	nwzgv	vgzwn
l0681	Uppercase:	jqvhmjrxw	JQVHMJRXW
l0682	Sort letters:	xycdwk	cdkwxy
l0683	Reverse:	wri	irw
l0684	Reverse:	ktgytj	jtygtk
l0685	Sort letters:	npkw	knpw
l0686	Uppercase:	nbe	NBE
l0687	Sort letters:	qooq	ooqq
l0688	Reverse:	qolszuow	wouzsloq
l0689	Uppercase:	lertgvr	LERTGVR
l0690	Repeat:	and exactly	and exactly
l0691	Sort letters:	bubyl	bbluy
l0692	Sort letters:	qqa	aqq
l0693	Uppercase:	vmwe	VMWE
l0694	Sort letters:	vghvbe	beghvv
l0695	Length:	jzyx	4
l0696	Sort letters:	idjy	dijy
l0697	Count vowels:	akpbm	1
l0698	Repeat:	single model	single model
l0699	Sort letters:	tggpjvp	ggjpptv
l0700	Length:	pgtioi	6
l0701	Uppercase:	vhbg	VHBG
l0702	Reverse:	gzciou	uoiczg
l0703	Uppercase:	bgmazh	BGMAZH
l0704	Sort letters:	pvaegs	aegpsv
l0705	Sort letters:	cmttx	cmttx
l0706	Reverse:	rjigvk	kvgijr
l0707	Length:	w	1
l0708	Sort letters:	roh	hor
l0709	Uppercase:	ydyevun	YDYEVUN
l0710	Count vowels:	uwmexsf	2
l0711	Sort letters:	zstgq	gqstz
l0712	Sort letters:	zovdv	dovvz
l0713	Length:	voosnnhslamf	12
l0714	Repeat:	exactly quick model	exactly quick model
l0715	Count vowels:	doxww	1
l0716	Reverse:	akadfjj	jjfdaka
l0717	Sort letters:	xsopba	abopsx
l0718	Reverse:	hnckcs	sckcnh
l0719	Reverse:	nqeao	oaeqn
l0720	Uppercase:	bcjqc	BCJQC
l0721	Reverse:	dvlvde	edvlvd
l0722	Sort letters:	mtveiley	eeilmtvy
l0723	Uppercase:	muvy	MUVY
l0724	Sort letters:	ipf	fip
l0725	Sort letters:	irfvwq	fiqrvw
l0726	Count vowels:	uxjxznb	1
l0727	Length:	ulgrmjbibx	10
l0728	Uppercase:	gdnpdzn	GDNPDZN
l0729	Repeat:	gradient small	gradient small
l0730	Sort letters:	ewhzvysu	ehsuvwyz
l0731	Sort letters:	axzgujg	aggjuxz
l0732	Repeat:	token the	token the
l0733	Count vowels:	phxklr	0
l0734	Sort letters:	zshyz	hsyzz
l0735	Count vowels:	pldzxjrdb	0
l0736	Sort letters:	azv	avz
l0737	Uppercase:	lowrrru	LOWRRRU
l0738	Sort letters:	xuo	oux
l0739	Uppercase:	tksoj	TKSOJ
l0740	Length:	wmlinkpddt	10
l0741	Sort letters:	qisvb	biqsv
l0742	Sort letters:	gwqirv	giqrvw
l0743	Repeat:	"she said ""single text"""	"she said ""single text"""
l0744	Sort letters:	vjhdc	cdhjv
l0745	Count vowels:	hupewez	3
l0746	Length:	wwqudwr	7
l0747	Reverse:	dzxccpbv	vbpccxzd
l0748	Reverse:	gakxroq	qorxkag
l0749	Reverse:	ioi	ioi
l0750	Sort letters:	lya	aly
l0751	Repeat:	"café
über data"	"café
über data"
l0752	Sort letters:	siefsxxh	efhissxx
l0753	Uppercase:	yxdljhthb	YXDLJHTHB
l0754	Uppercase:	etmiqdkc	ETMIQDKC
l0755	Count vowels:	dhhzgc	0
l0756	Repeat:	café reads	café reads
l0757	Sort letters:	lfobdq	bdfloq
l0758	Uppercase:	nzrggft	NZRGGFT
l0759	Uppercase:	lramcbjg	LRAMCBJG
l0760	Repeat:	über of parser	über of parser
l0761	Length:	crvdnn	6
l0762	Reverse:	zcf	fcz
l0763	Uppercase:	megmuisb	MEGMUISB
l0764	Count vowels:	oxiz	2
l0765	Repeat:	character ’n’ jalapeño jalapeño café naïve and data	character ’n’ jalapeño jalapeño café naïve and data
l0766	Sort letters:	qnuukfb	bfknquu
l0767	Uppercase:	jjaxfgb	JJAXFGB
l0768	Repeat:	losing ’n’ loss	losing ’n’ loss
l0769	Sort letters:	nlxlos	llnosx
l0770	Reverse:	gqjtgb	bgtjqg
l0771	Count vowels:	jhfpcgy	0
l0772	Reverse:	pulcy	yclup
l0773	Length:	xuauuc	6
l0774	Length:	mwspkscxwekr	12
l0775	Reverse:	ryslu	ulsyr
l0776	Reverse:	cezpj	jpzec
l0777	Repeat:	über copy	über copy
l0778	Repeat:	a ’n’ the parser line without line and	a ’n’ the parser line without line and
l0779	Sort letters:	bkneo	bekno
l0780	Repeat:	"a
señor"	"a
señor"
l0781	Reverse:	pdn	ndp
l0782	Sort letters:	muqsjk	jkmqsu
l0783	Count vowels:	zvvymmwkry	0
l0784	Sort letters:	botqqcp	bcopqqt
l0785	Repeat:	every line copy	every line copy
l0786	Uppercase:	bpfkauw	BPFKAUW
l0787	Sort letters:	zxos	osxz
l0788	Reverse:	yjvrk	krvjy
l0789	Sort letters:	kjnmjeby	bejjkmny
l0790	Uppercase:	lyyoheyfb	LYYOHEYFB
l0791	Length:	sbq	3
l0792	Reverse:	yzlwc	cwlzy
l0793	Uppercase:	etts	ETTS
l0794	Reverse:	rhzq	qzhr
l0795	Reverse:	sqdffuhu	uhuffdqs
l0796	Repeat:	"she said ""of character"""	"she said ""of character"""
l0797	Length:	fdzzyw	6
l0798	Repeat:	copy data line	copy data line
l0799	Reverse:	fzxzxilc	clixzxzf
l0800	Uppercase:	cvswj	CVSWJ
l0801	Reverse:	dwrisv	vsirwd
l0802	Sort letters:	qymxw	mqwxy
l0803	Length:	bzddhzrhk	9
l0804	Sort letters:	ikzc	cikz
l0805	Sort letters:	glgitc	cggilt
l0806	Reverse:	zkwzahu	uhazwkz
l0807	Reverse:	akbmiayx	xyaimbka
l0808	Uppercase:	whouix	WHOUIX
l0809	Reverse:	bvgywe	ewygvb
l0810	Repeat:	single character the	single character the
l0811	Reverse:	duai	iaud
l0812	Reverse:	emx	xme
l0813	Repeat:	small reads	small reads
l0814	Reverse:	eotc	ctoe
l0815	Repeat:	déjà señor and a token the text gradient and naïve	déjà señor and a token the text gradient and naïve
l0816	Length:	eldcdjaiuu	10
l0817	Sort letters:	plaopk	aklopp
l0818	Count vowels:	dhubugqszm	2
l0819	Reverse:	byirb	briyb
l0820	Uppercase:	vmjjtjdc	VMJJTJDC
l0821	Sort letters:	zrgxoz	gorxzz
l0822	Sort letters:	vset	estv
l0823	Sort letters:	dsvvbelr	bdelrsvv
l0824	Reverse:	opc	cpo
l0825	Count vowels:	dtuugafa	4
l0826	Sort letters:	kzvcwwl	cklvwwz
l0827	Sort letters:	kmcrzua	ackmruz
l0828	Reverse:	pqd	dqp
l0829	Uppercase:	reesdy	REESDY
l0830	Repeat:	"naïve	quick and model copy loss of déjà exactly"	"naïve	quick and model copy loss of déjà exactly"
l0831	Uppercase:	wgvldoxgy	WGVLDOXGY
l0832	Length:	ccfvyvv	7
l0833	Reverse:	pyqm	mqyp
l0834	Uppercase:	infx	INFX
l0835	Count vowels:	xuhdlakyq	2
l0836	Reverse:	aqxkyxvi	ivxykxqa
l0837	Sort letters:	gvi	giv
l0838	Reverse:	qmyu	uymq
l0839	Sort letters:	nvekdips	deiknpsv
l0840	Reverse:	qkfj	jfkq
l0841	Uppercase:	skklsdma	SKKLSDMA
l0842	Reverse:	bqh	hqb
l0843	Sort letters:	mnt	mnt
l0844	Length:	ohtoqzdw	8
l0845	Reverse:	xabt	tbax
l0846	Sort letters:	omlcdq	cdlmoq
l0847	Sort letters:	lozflz	fllozz
l0848	Repeat:	résumé small batch	résumé small batch
l0849	Repeat:	café and café	café and café
l0850	Sort letters:	wfu	fuw
l0851	Sort letters:	jbhfzmk	bfhjkmz
l0852	Reverse:	ocxt	txco
l0853	Reverse:	znkkulz	zlukknz
l0854	Reverse:	emhrxqg	gqxrhme
l0855	Count vowels:	yxzfetx	1
l0856	Sort letters:	nuehf	efhnu
l0857	Sort letters:	rjwk	jkrw
l0858	Reverse:	tjaowk	kwoajt
l0859	Reverse:	cfxyg	gyxfc
l0860	Sort letters:	gau	agu
l0861	Reverse:	upby	ybpu
l0862	Sort letters:	gfbu	bfgu
l0863	Reverse:	hokf	fkoh
l0864	Sort letters:	cdtudvys	cddstuvy
l0865	Reverse:	jpbfuv	vufbpj
l0866	Uppercase:	gqhyvggsf	GQHYVGGSF
l0867	Uppercase:	aoxoyw	AOXOYW
l0868	Reverse:	wkriwke	ekwirkw
l0869	Repeat:	data the to	data the to
l0870	Reverse:	ckw	wkc
l0871	Sort letters:	bwdocv	bcdovw
l0872	Sort letters:	oolls	lloos
l0873	Length:	etaftds	7
l0874	Reverse:	gpicrf	frcipg
l0875	Sort letters:	xryqff	ffqrxy
l0876	Sort letters:	ulb	blu
l0877	Sort letters:	knahkx	ahkknx
l0878	Repeat:	to and without	to and without
l0879	Reverse:	jmpgkt	tkgpmj
l0880	Uppercase:	nvxzzpwup	NVXZZPWUP
l0881	Sort letters:	tjwetl	ejlttw
l0882	Repeat:	losing data and	losing data and
l0883	Reverse:	gbf	fbg
l0884	Sort letters:	vltdz	dltvz
l0885	Sort letters:	fwnkc	cfknw
l0886	Length:	ftajggnfrypo	12
l0887	Sort letters:	nyc	cny
l0888	Sort letters:	elszys	elssyz
l0889	Count vowels:	pkay	1
l0890	Repeat:	copy exactly résumé without single exactly über of	copy exactly résumé without single exactly über of
l0891	Count vowels:	tome	2
l0892	Uppercase:	quzwqfsvg	QUZWQFSVG
l0893	Uppercase:	snvjhxi	SNVJHXI
l0894	Uppercase:	hhy	HHY
l0895	Reverse:	xbcqnewi	iwenqcbx
l0896	Sort letters:	xpkiigxx	giikpxxx
l0897	Length:	hpl	3
l0898	Reverse:	qazxcy	ycxzaq
l0899	Count vowels:	uenpvnxp	2
l0900	Uppercase:	kwikwdw	KWIKWDW
l0901	Sort letters:	pzhtocya	achoptyz
l0902	Count vowels:	gxdkw	0
l0903	Repeat:	señor of	señor of
l0904	Repeat:	a reads it	a reads it
l0905	Count vowels:	dknnzyyndy	0
l0906	Uppercase:	lxl	LXL
l0907	Length:	yrkbduefvx	10
l0908	Sort letters:	uattyuys	asttuuyy
l0909	Reverse:	gdudhq	qhdudg
l0910	Reverse:	dpitssyb	bysstipd
l0911	Reverse:	oqdz	zdqo
l0912	Sort letters:	dxmjlpod	ddjlmopx
l0913	Count vowels:	luvc	1
l0914	Sort letters:	ynbttqn	bnnqtty
l0915	Sort letters:	proxhbqe	behopqrx
l0916	Reverse:	nscgymxh	hxmygcsn
l0917	Sort letters:	xcfumnj	cfjmnux
l0918	Sort letters:	amrh	ahmr
l0919	Uppercase:	ogiinfhj	OGIINFHJ
l0920	Repeat:	"she said ""line"""	"she said ""line"""
l0921	Uppercase:	uryguk	URYGUK
l0922	Count vowels:	wvokidnke	3
l0923	Reverse:	xpiwtnu	untwipx
l0924	Sort letters:	nvyxtv	ntvvxy
l0925	Count vowels:	iwij	2
l0926	Uppercase:	lfdcpw	LFDCPW
l0927	Repeat:	parser ’n’ token café	parser ’n’ token café
l0928	Length:	jbdkwwgjzrdn	12
l0929	Sort letters:	ivnlpr	ilnprv
l0930	Sort letters:	hyoacf	acfhoy
l0931	Length:	fmo	3
l0932	Sort letters:	nusu	nsuu
l0933	Count vowels:	yxnqg	0
l0934	Length:	xphqdu	6
l0935	Reverse:	vojdhh	hhdjov
l0936	Reverse:	ommnyu	uynmmo
l0937	Reverse:	hmqux	xuqmh
l0938	Length:	vj	2
l0939	Count vowels:	dksidllx	1
l0940	Sort letters:	ommytyz	mmotyyz
l0941	Uppercase:	mqqkoeyz	MQQKOEYZ
l0942	Repeat:	it über	it über
l0943	Reverse:	kbzi	izbk
l0944	Reverse:	wrjaokli	ilkoajrw
l0945	Reverse:	ibeyckw	wkcyebi
l0946	Count vowels:	ikfvgvwd	1
l0947	Reverse:	luobey	yeboul
l0948	Reverse:	mqitt	ttiqm
l0949	Sort letters:	taaje	aaejt
l0950	Repeat:	copy batch señor	copy batch señor
l0951	Uppercase:	ucehnnqt	UCEHNNQT
l0952	Length:	acjyyqvvoyra	12
l0953	Sort letters:	iuz	iuz
l0954	Reverse:	btxfe	efxtb
l0955	Repeat:	it loss	it loss
l0956	Uppercase:	yqktju	YQKTJU
l0957	Reverse:	owoabfp	pfbaowo
l0958	Reverse:	rny	ynr
l0959	Reverse:	ecuvzke	ekzvuce
l0960	Repeat:	"learns	and"	"learns	and"
l0961	Reverse:	lazxqzmp	pmzqxzal
l0962	Repeat:	"she ’n’ said ""copy token without"""	"she ’n’ said ""copy token without"""
l0963	Reverse:	eqxvjpts	stpjvxqe
l0964	Sort letters:	bcxp	bcpx
l0965	Uppercase:	seeqa	SEEQA
l0966	Repeat:	"she said ""without and line of copy a character"""	"she said ""without and line of copy a character"""
l0967	Uppercase:	dlzq	DLZQ
l0968	Uppercase:	lfjbr	LFJBR
l0969	Sort letters:	icazqi	aciiqz
l0970	Sort letters:	jdtm	djmt
l0971	Uppercase:	byg	BYG
l0972	Length:	ebltpbdrwv	10
l0973	Uppercase:	billawd	BILLAWD
l0974	Repeat:	model a data	model a data
l0975	Sort letters:	aogin	agino
l0976	Reverse:	xmjmph	hpmjmx
l0977	Reverse:	likswv	vwskil
l0978	Sort letters:	repmhgj	eghjmpr
l0979	Length:	infeqeukovr	11
l0980	Sort letters:	bprgg	bggpr
l0981	Sort letters:	vbxox	bovxx
l0982	Uppercase:	hanpkba	HANPKBA
l0983	Sort letters:	ovhinoq	hinooqv
l0984	Reverse:	utiwhb	bhwitu
l0985	Sort letters:	hnmsrunl	hlmnnrsu
l0986	Reverse:	fbu	ubf
l0987	Count vowels:	cxnipne	2
l0988	Sort letters:	tguzdi	dgituz
l0989	Uppercase:	bubdld	BUBDLD
l0990	Length:	xrgbc	5
l0991	Length:	hbqmlncegdk	11
l0992	Uppercase:	qnupcg	QNUPCG
l0993	Reverse:	wtrox	xortw
l0994	Sort letters:	cows	cosw
l0995	Count vowels:	tenfgqvwew	2
l0996	Sort letters:	tmxtee	eemttx
l0997	Uppercase:	oyfkn	OYFKN
l0998	Length:	tqqwaaxg	8
l0999	Reverse:	oom	moo
