# sft export v3 -- generated 2024-11-02
id	instruction	input	output	source
m01933	Sort  letters:	kkdog	dgkko	scrape
m01934	Reverse:	tlmypmu	umpymlt	vendor_b
m01935	Reverse:	yxcrkv	vkrcxy	scrape
m01936	uPPERCASE:	hbwjo	HBWJO	scrape
m01937	Reverse:	nwsjjhk	khjjswn	vendor_a
m01938	Length:	jebpfeyfn	9	synthetic
m01939	Sort letters:	gbkpmo	bgkmop	vendor_b
m01940	Repeat:	every to señor	every to señor	synthetic
m01941	Sort letters:	qlqb	blqq	vendor_b
m01942	Sort letters:	cxbtu	bctux	scrape
m01943	Reverse:	xbamh	hmabx	synthetic
m01944	Count vowels:	hujkpp	1	vendor_a
m01945	reverse:	dvev	vevd	scrape
m01946	Reverse:	xqmao	oamqx	vendor_a
m01947	uPPERCASE:	ojyspttef	OJYSPTTEF	scrape
m01948	Reverse:	wndkmoc	comkdnw	vendor_b
m01949	Uppercase:	dxokxvci	DXOKXVCI	vendor_a
m01950	uPPERCASE:	ciyo	CIYO	scrape
m01951	Sort letters:	ryruxb	brruxy	vendor_b
m01952	Sort letters:	msmzxmym	mmmmsxyz	vendor_a
m01953	Sort letters:	egu	egu	synthetic
m01954	Uppercase:	zxylv	ZXYLV	synthetic
m01955	Length:	bor	3	synthetic
m01956	Uppercase:	sbvwjqd	SBVWJQD	vendor_a	EXTRA
m01957	Sort letters:	qnqereq	eenqqqr	vendor_a
m01958	Length:	np	2	vendor_a
m01959	repeat:	a déjà learns naïve naïve résumé parser	a déjà learns naïve naïve résumé parser	scrape
m01960	SORT LETTERS:	gdwuxg	dgguwx	scrape
m01961	Length:	uhwgioqkg	9	vendor_b
m01962	Repeat:	exactly a señor	exactly a señor	vendor_a
m01963	Repeat:	every and déjà	every and déjà	synthetic
m01964	Sort letters:	shc	chs	vendor_a
m01965	Reverse:	cyuujpde	edpjuuyc	synthetic
m01966	rEVERSE:	lqmenil	linemql	scrape
m01967	Sort letters:	snk	kns	synthetic
m01968	Length:	zfbtugnjec	10	vendor_b
m01969	SORT LETTERS:	yarvcsy	acrsvyy	scrape
m01970	Repeat:	déjà copy exactly	déjà copy exactly	vendor_b
m01971	REPEAT:	quick the	quick the	scrape
m01972	Uppercase:	ojneke	OJNEKE	synthetic
m01973	COUNT VOWELS:	lekq	1	scrape
m01974	Count vowels:	ycqroeqnf	2	synthetic
m01975	Repeat:	exactly résumé	exactly résumé	vendor_a
m01976	uppercase:	uao	UAO	scrape
m01977	Sort letters:	uyff	ffuy	vendor_a
m01978	Uppercase:	fin	FIN	vendor_b
m01979	Repeat:	text of	text of	synthetic
m01980	uPPERCASE:	ryux	RYUX	scrape
m01981	Sort letters:	odvu	douv	synthetic
m01982	Reverse:	ldjrsk	ksrjdl	synthetic
m01983	reverse:	shpqornf	fnroqphs	scrape
m01984	Uppercase:	ygfhsimj	YGFHSIMJ	synthetic
m01985	Sort letters:	gyuxdu	dguuxy	vendor_a
m01986	uPPERCASE:	tlpdd	TLPDD	scrape
m01987	Reverse:	lqcr	rcql	vendor_b
m01988	Reverse:	rzbyewn	nweybzr	vendor_b
m01989	uPPERCASE:	lztfm	LZTFM	scrape
m01990	Count  vowels:	mhxj	0	scrape
m01991	Sort letters:	txafkow	afkotwx	synthetic
m01992	Sort letters:	pgmuuw	gmpuuw	vendor_b
m01993	Count vowels:	kysjufxc	1	vendor_b
m01994	length:	wboplqau	8	scrape
m01995	Sort letters:	fkyjnmy	fjkmnyy	vendor_b
m01996	Length:	nvki	4	vendor_a
m01997	Uppercase:	auk	AUK	synthetic
m01998	Sort letters:	uksw	ksuw	vendor_a
m01999	Count vowels:	qvnbcm	0	vendor_b
m02000	Sort letters:	nkptqfr	fknpqrt	vendor_b
m02001	rEVERSE:	lip	pil	scrape
m02002	REVERSE:	amyum	muyma	scrape
m02003	Reverse:	edw	wde	vendor_a
m02004	Repeat:	back character token	back character token	vendor_a
m02005	Reverse:	rakhrl	lrhkar	synthetic
m02006	Uppercase:	eqpgwjqa	EQPGWJQA	vendor_b
m02007	lENGTH:	traxmagpr	9	scrape
m02008	Uppercase:	ifuhc	IFUHC	synthetic
m02009	Repeat:	"she said ""déjà without reads losing to small back parser of token"""	"she said ""déjà without reads losing to small back parser of token"""	vendor_a
m02010	SORT LETTERS:	kblwwqmv	bklmqvww	scrape
m02011	Count vowels:	objiyd	2	synthetic
m02012	Count vowels:	hsonlpkt	1	synthetic
m02013	Sort letters:	vxsyio	iosvxy	vendor_a
m02014	Count vowels:	nhsxn	0	vendor_b
m02015	Count vowels:	fuzfagprx	2	vendor_a
m02016	sORT LETTERS:	rdkohfs	dfhkors	scrape
m02017	Sort letters:	ybd	bdy	synthetic
m02018	rEVERSE:	smosfst	tsfsoms	scrape
m02019	Uppercase:	vaijb	VAIJB	scrape
m02020	Uppercase:	eayzs	EAYZS	synthetic
m02021	Reverse:	zxtqc	cqtxz	vendor_b
m02022	Uppercase:	ilixigo	ILIXIGO	vendor_b
m02023	Repeat:	character to jalapeño exactly model a the reads exactly text	character to jalapeño exactly model a the reads exactly text	scrape
m02024	Count vowels:	tregryhz	1	synthetic
m02025	sort letters:	nxvzac	acnvxz	scrape
m02026	Sort letters:	hotl
m02027	Count vowels:	krxs	0	vendor_b
m02028	REVERSE:	mnrvrk	krvrnm	scrape
m02029	Count vowels:	kvkjwhj	0	synthetic
# ---- page break ----
m02030	Reverse:	umtz	ztmu	vendor_a
m02031	Sort letters:	eecuuuu	ceeuuuu	vendor_a
m02032	Reverse:	bzjo	ojzb	vendor_b
m02033	  Repeat: 	"line
señor it"	"line
señor it"	vendor_b
m02034	sort letters:	vdifvic
m02035	Reverse:	eyxt	txye	vendor_a
m02036	Sort letters:	oodwscak	acdkoosw	vendor_a
m02037	Uppercase:	tkcjbkqhe	TKCJBKQHE	synthetic
m02038	Reverse:	itqymxf	fxmyqti	vendor_a
m02039	Length:	ctuifqulcjj	11	vendor_b
m02040	rEVERSE:	ohotfuc	cuftoho	scrape
m02041	Uppercase:	ghmek	GHMEK	vendor_a
m02042	Sort letters:	iddh	ddhi	synthetic
m02043	sORT LETTERS:	dihajaqc	aacdhijq	scrape
m02044	SORT LETTERS:	nble	beln	scrape
m02045	reverse:	xkg	gkx	scrape
m02046	Repeat:	losing data señor parser and every über señor déjà line​	losing data señor parser and every über señor déjà line	vendor_b

m02047	Sort letters:	hcaotu	achotu	vendor_a
m02048	Count vowels:	hkkolzzt	1	vendor_b
m02049	uppercase:	yeu	YEU	scrape
m02050	rEPEAT:	loss	loss	scrape
m02051	sort letters:	yreshfcl	cefhlrsy	scrape
m02052	Length:	selkivhvdajb	12	vendor_a
m02053	Sort letters:	xwfgp	fgpwx	vendor_b
m02054	  Sort letters: 	uwj	juw	synthetic
m02055	Reverse:	tzsomj	jmoszt	vendor_a
m02056	Count vowels:	zxkawj	1	vendor_a
m02057	Uppercase:	gib	GIB	vendor_b
m02058	Length:	ijaxyt	6	vendor_b
m02059	Repeat:	to of	to of	vendor_b
m02060	Reverse:	fhzuspcx	xcpsuzhf	synthetic
m02061	Sort letters:	tnzzbu	bntuzz	vendor_b
m02062	Reverse:	zgopotsa	astopogz	synthetic
m02063	Reverse:	tyqgs	sgqyt	vendor_a
m02064	Reverse:	uunity	ytinuu	synthetic
m02065	rEVERSE:	miha	ahim	scrape
m02066	Count vowels:	qhcshn	0	vendor_b
m02067	Count  vowels:	rkgazy	1	scrape
m02068	rEVERSE:	sqtye	eytqs	scrape
m02069	Repeat:	"she said ""señor small"""	"she said ""señor small"""	vendor_a
m02070	Count vowels:	nkoifl	2	vendor_a
m02071	Uppercase:	mrsbmjd	MRSBMJD	vendor_b
m02072	SORT LETTERS:	shwr	hrsw	scrape
m02073	uPPERCASE:	edmjvooj	EDMJVOOJ	scrape
m02074	Count vowels:	svrllkn	0	synthetic
m02075	Repeat:	character token	character token	vendor_b
m02076	Sort letters:	hwupwpte		synthetic
m02077	sORT LETTERS:	ubhg	bghu	scrape
m02078	sORT LETTERS:	gjmrg	ggjmr	scrape
m02079	Sort letters:	gklxpa	agklpx	synthetic
m02080	sORT LETTERS:	erwds	dersw	scrape
m02081	Sort letters:	zkigkekl	egikkklz	vendor_a
m02082	Count vowels:	bzqizn	1	vendor_a
m02083	Sort letters:	neeqe	eeenq	synthetic
m02084	Sort letters:	bntwx	bntwx	synthetic
m02085	Reverse:	evzimzia	aizmizve	vendor_b
m02086	Reverse:	iuoej	jeoui	vendor_a
m02087	Uppercase:	vfwbd	VFWBD	synthetic
m02088	rEPEAT:	data back batch	data back batch	scrape
m02089	Reverse:	soqvhd	dhvqos	synthetic
m02090	sORT LETTERS:	yzhqan	ahnqyz	scrape
m02091	Count vowels:	mjeuwwmti	3	vendor_a
m02092	Count vowels:	cfvqdyuyk	1	vendor_a
m02093	Repeat:	parser and déjà	parser and déjà	vendor_a
m02094	Length:	mwp	3	synthetic
m02095	rEPEAT:	quick character a	quick character a	scrape
m02096	sort letters:	fayql	aflqy	scrape
m02097	uPPERCASE:	wxnfcicg	WXNFCICG	scrape
m02098	Reverse:	jymxeb	bexmyj	synthetic
m02099	Uppercase:	yvvvhwr	YVVVHWR	synthetic
m02100	Length:	kclh	4	vendor_a
m02101	rEPEAT:	model small	model small	scrape
m02102	Sort letters:	xoz	oxz	vendor_a
m02103	Reverse:	lkkea	aekkl	vendor_b
m02104	rEVERSE:	hbzrv	vrzbh	scrape
m02105	Reverse:	vag	gav	vendor_b
m02106	Sort letters:	rabhmcvp	abchmprv	vendor_a
m02107	Sort letters:	iigloj	giijlo	vendor_b
m02108	rEPEAT:	batch small learns	batch small learns	scrape
m02109	Reverse:	pbvq	qvbp	synthetic
m02110	Reverse:	bqpdl	ldpqb	synthetic
m02111	count vowels:	yrsbtr	0	scrape
m02112	Count vowels:	hdbaeh	2	synthetic
m02113	Sort letters:	prl	lpr	vendor_b
m02114	Sort letters:	oqlq	loqq	vendor_b
m02115	Sort letters:	jgm	gjm	vendor_a
m02116	Reverse:	dkbb	bbkd	synthetic
m02117	Sort letters:	campeu	acempu	vendor_a
m02118	Sort letters:	yeq	eqy	vendor_a
m02119	REPEAT:	line every	line every	scrape
m02120	Sort letters:	dgvtv	dgtvv	vendor_a
m02121	Uppercase:	eyjvgiao	EYJVGIAO	synthetic
m02122	Count  vowels:	cwxrlpgj	0	scrape
m02123	Length:	cr	2	vendor_b
m02124	Reverse:	fouvcjp	pjcvuof	vendor_a
m02125	Sort letters:	atb	abt	synthetic
m02126	Sort letters:	hxryvydy	dhrvxyyy	vendor_b
m02127	Count vowels:	wjjpq	0	vendor_b
m02128	Length:	tiqdxxypiz	10	vendor_b
m02129	Sort letters:	ixglplc	cgillpx	vendor_a
m02130	LENGTH:	kxcktadin	9	scrape
m02131	Reverse:	mmce	ecmm	vendor_b
m02132	Repeat:	résumé parser	résumé parser	vendor_b
m02133	Sort letters:	tvmna	amntv	synthetic
m02134	Sort letters:	sel	els	synthetic
m02135	Count vowels:	ljphswhjg	0	vendor_b
m02136	REPEAT:	without the	without the	scrape
m02137	Uppercase:	bgecvhtnm	BGECVHTNM	synthetic
m02138	SORT LETTERS:	ketoiw	eikotw	scrape
m02139	Uppercase:	lkjnxpi	LKJNXPI	vendor_b
m02140	Uppercase:	fsmfktsee	FSMFKTSEE	vendor_a
m02141	Reverse:	ipfczlh	hlzcfpi	synthetic
m02142	Count vowels:	jwdmyzhe	1	scrape
m02143	Repeat:	back naïve	back naïve	scrape
m02144	repeat:	back text a single without single it without a	back text a single without single it without a	scrape
m02145	Repeat:	naïve naïve	naïve naïve	vendor_a
m02146	Sort letters:	dlzjzzhz	dhjlzzzz	vendor_b
m02147	Sort letters:	zdduximf	ddfimuxz	vendor_b
m02148	Reverse:	vzkvtnzj	jzntvkzv	vendor_a
m02149	Sort letters:	ljqag	agjlq	vendor_a
m02150	Reverse:	nurmhj	jhmrun	synthetic
m02151	Reverse:	umw	wmu	vendor_b
m02152	Uppercase:	bhuzidpp	BHUZIDPP	synthetic	EXTRA
m02153	rEVERSE:	gvkpto	otpkvg	scrape
m02154	rEPEAT:	"she said ""single gradient a"""	"she said ""single gradient a"""	scrape
m02155	Reverse:	vey	yev	vendor_a
m02156	REVERSE:	bbf	fbb	scrape
m02157	Uppercase:	lwkuvc		vendor_b
m02158	Length:	xpnxu	5	vendor_b
m02159	Sort letters:	ogdr	dgor	vendor_a
m02160	Repeat:	learns without small single it of batch café señor model	learns without small single it of batch café señor model	synthetic
m02161	Repeat:	it token back	it token back	synthetic
m02162	REPEAT:	text line über	text line über	scrape
m02163	Uppercase:	funkihu	FUNKIHU	vendor_a
m02164	REPEAT:	every to señor	every to señor	scrape
m02165	count vowels:	ojjifudra	4	scrape
m02166	Reverse:	bxdrda	adrdxb	synthetic
m02167	Reverse:	ezm	mze	vendor_a
m02168	Sort letters:	uxseuctc	ccestuux	vendor_b
m02169	Count vowels:	uixu​	3	vendor_a
m02170	Length:	vo	2	vendor_b
m02171	Uppercase:	yalnajial	YALNAJIAL	vendor_b
m02172	Uppercase:	ntqsnbejo	NTQSNBEJO	synthetic
m02173	Sort letters:	ixgooffr	ffgioorx	synthetic
m02174	Uppercase:	scsf	SCSF	synthetic
m02175	Uppercase:	xwjtseap	XWJTSEAP	vendor_a
m02176	REPEAT:	a token	a token	scrape
m02177	Reverse:	kau	uak	vendor_a
m02178	Repeat:	"she said ""line déjà café model café gradient it"""	"she said ""line déjà café model café gradient it"""	synthetic
m02179	REPEAT:	loss résumé small	loss résumé small	scrape
m02180	Repeat:	it of über	it of über	vendor_a
m02181	Uppercase:	kzxonb	KZXONB	synthetic
m02182	Count  vowels:	aqizpb	2	scrape
m02183	Reverse:	vubslfci	icflsbuv	synthetic
m02184	Repeat:	reads without single the über loss data jalapeño learns the	reads without single the über loss data jalapeño learns the	vendor_a
m02185	Sort letters:	puvo	opuv	vendor_b
m02186	Count vowels:	nufqjqgq	1	vendor_a
m02187	Count vowels:	zkhb	0	vendor_a
m02188	Sort letters:	jmbel	bejlm	vendor_b
m02189	Reverse:	grxd	dxrg	synthetic
m02190	Reverse:	dhil	lihd	synthetic
m02191	cOUNT VOWELS:	mkvc	0	scrape
m02192	Reverse:	rkpl	lpkr	synthetic
m02193	reverse:	nfjwc	cwjfn	scrape
m02194	Count vowels:	ipntrwu	2	synthetic
m02195	Reverse:	imdf	fdmi	vendor_b
m02196	Reverse:	yzwtfaq
m02197	REPEAT:	text naïve déjà	text naïve déjà	scrape
m02198	Reverse:	dhajal	lajahd	vendor_b
m02199	Reverse:	sqq	qqs	synthetic
m02200	rEVERSE:	fmz	zmf	scrape
m02201	Repeat:	a reads small batch and parser of résumé señor quick	a reads small batch and parser of résumé señor quick	vendor_b	EXTRA

m02202	Sort letters:	hzgsfox	fghosxz	vendor_b
m02203	Sort letters:	fbljhg	bfghjl	vendor_a
m02204	SORT LETTERS:	sqakljam	aajklmqs	scrape
m02205	Repeat:	déjà a reads	déjà a reads	vendor_a
m02206	Sort  letters:	zkdx	dkxz	scrape
m02207	REVERSE:	uipw	wpiu	scrape
m02208	Reverse:	vdc	cdv	vendor_a
m02209	Sort letters:	btc	bct	vendor_a
m02210	Reverse:	epqpb	bpqpe	vendor_b
m02211	sORT LETTERS:	jrkqnqid	dijknqqr	scrape
m02212	Uppercase:	ywe	YWE	vendor_b
m02213	Uppercase:	cwg	CWG	synthetic
m02214	Count vowels:	iserugpu	4	vendor_a
m02215	reverse:	zhmx	xmhz	scrape
m02216	Sort letters:	dfjoq	dfjoq	vendor_b
m02217	Repeat:	jalapeño the	jalapeño the	synthetic
m02218	reverse:	egtxvhpi	iphvxtge	scrape
m02219	reverse:	kna	ank	scrape
m02220	Sort letters:	ybtbyi	bbityy	vendor_b	EXTRA

m02221	sort letters:	phmzmq	hmmpqz	scrape
m02222	Repeat:	without loss déjà	without loss déjà	synthetic
m02223	uPPERCASE:	rnh	RNH	scrape
m02224	sort letters:	gywjkhi	ghijkwy	scrape
m02225	lENGTH:	binlc	5	scrape
m02226	Repeat:	"she said ""über every"""	"she said ""über every"""	vendor_b
m02227	Reverse:	beo	oeb	synthetic
m02228	Repeat:	"exactly	back a without single back line batch character every"	"exactly	back a without single back line batch character every"	vendor_a
m02229	Uppercase:	osptlfkjb	OSPTLFKJB	vendor_b
m02230	SORT LETTERS:	rbagt	abgrt	scrape
m02231	Uppercase:	kgmphbc	KGMPHBC	vendor_a
m02232	Reverse:	yayahni	inhayay	vendor_b
m02233	Uppercase:	qifndbn	QIFNDBN	vendor_a
m02234	Count vowels:	rkgazy	1	vendor_a
m02235	rEVERSE:	ailkrk	krklia	scrape
m02236	sORT LETTERS:	zrmmmmdp	dmmmmprz	scrape
m02237	Reverse:	rudr	rdur	synthetic
m02238	Reverse:	jpomdn	ndmopj	vendor_a
m02239	Length:	jfaq	4	vendor_a
m02240	Repeat:	déjà parser	déjà parser	vendor_a
m02241	sORT LETTERS:	jxljlm	jjllmx	scrape
m02242	Repeat:	café parser	café parser	vendor_b
m02243	Reverse:	dtls	sltd	vendor_a
m02244	Length:	z	1	vendor_b
m02245	Sort letters:	elnr	elnr	synthetic
m02246	Reverse:	tjyc	cyjt	vendor_a
m02247	Reverse:	tyxce	ecxyt	vendor_a
m02248	uPPERCASE:	mzax	MZAX	scrape
m02249	Sort letters:	ykn	kny	vendor_b
m02250	Repeat:	exactly of	exactly of	scrape
m02251	length:	nuudzghkt	9	scrape
m02252	Count vowels:	ipyjumcj	2	vendor_a
m02253	Reverse:	sqruzh	hzurqs	vendor_a
m02254	REVERSE:	gbukpfg	gfpkubg	scrape
# ---- page break ----
m02255	Length:	wramnxoc	8	synthetic
m02256	rEVERSE:	yrvizuh	huzivry	scrape
m02257	  Uppercase: 	attlnit	ATTLNIT	vendor_a
m02258	Uppercase:	srdgzaoxl	SRDGZAOXL	synthetic
m02259	rEVERSE:	rgnzugx	xguzngr	scrape
m02260	Count  vowels:	bpqykcy	0	scrape
m02261	Sort letters:	zir	irz	synthetic
m02262	Repeat:	café the señor loss line résumé reads	café the señor loss line résumé reads	vendor_b
m02263	COUNT VOWELS:	aoovfofduo	6	scrape
m02264	Sort letters:	jqb	bjq	vendor_b
m02265	Sort letters:	mmhmaawg	aaghmmmw	synthetic
m02266	Uppercase:	oxmsvrrv	OXMSVRRV	vendor_a
m02267	REVERSE:	fglpzek	kezplgf	scrape
m02268	REPEAT:	résumé model it naïve a model single losing and	résumé model it naïve a model single losing and	scrape
m02269	  Count vowels: 	kobxhmwuyt	2	vendor_b
m02270	Count vowels:	mcwwwpzsx	0	vendor_b
m02271	Sort letters:	pqgps	gppqs	vendor_a
m02272	Count vowels:	uzvgyvtg	1	vendor_b
m02273	Sort letters:	lohiixzu	hiilouxz	synthetic
m02274	Repeat:	quick a without	quick a without	vendor_b
m02275	rEVERSE:	iqickmi	imkciqi	scrape
m02276	Count vowels:	evbtwg	1	vendor_a
m02277	uppercase:	ryzzi	RYZZI	scrape
m02278	Sort letters:	hxknha	ahhknx	synthetic
m02279	Sort letters:	umsgog	ggmosu	vendor_a
m02280	Sort  letters:	qvubec	bcequv	scrape
m02281	Sort letters:	qmqrawg	agmqqrw	vendor_a
m02282	uPPERCASE:	jtlp	JTLP	scrape
m02283	  Reverse: 	sgo	ogs	synthetic
m02284	Reverse:	bbf	fbb	vendor_a
m02285	Reverse:	desvecm	mcevsed	vendor_a
m02286	Uppercase:	sqvcyfxoj	SQVCYFXOJ	scrape
m02287	Count vowels:	vetm	1	vendor_a
m02288	Reverse:	avaz	zava	vendor_b
m02289	Length:	kgfgta	6	vendor_a
m02290	Count vowels:	gpimq	1	vendor_b
m02291	Count vowels:	ghlva	1	vendor_a
m02292	Uppercase:	bswuhcaea	BSWUHCAEA	scrape
m02293	Sort  letters:	tfqtokte	efkoqttt	scrape
m02294	Length:	bt	2	synthetic
m02295	rEVERSE:	iylpw	wplyi	scrape
m02296	Uppercase:	oskgsc	OSKGSC	synthetic
m02297	REVERSE:	oydayzzq	qzzyadyo	scrape
m02298	sort letters:	ibpkq	bikpq	scrape
m02299	Uppercase:	ccz	CCZ	vendor_b
m02300	Uppercase:	hok	HOK	vendor_a
m02301	Uppercase:	hsiamoz	HSIAMOZ	vendor_b
m02302	Count  vowels:	greijgk	2	scrape
m02303	Repeat:	"learns	data model"	"learns	data model"	synthetic	EXTRA
m02304	Sort letters:	btembgat	abbegmtt	vendor_a
m02305	Length:	micqi	5	vendor_b
m02306	Count vowels:	ejgrzwxw	1	scrape
m02307	Reverse:	gmhx	xhmg	vendor_b
m02308	Repeat:	back to and	back to and	synthetic
m02309	Count vowels:	wbwtjoyq
m02310	Reverse:	wut	tuw	vendor_b
m02311	Length:	kzowomipiq	10	vendor_a
m02312	Length:	wboplqau	8	vendor_a
m02313	Repeat:	gradient model résumé copy reads every line the the it	gradient model résumé copy reads every line the the it	vendor_a
m02314	uppercase:	aupbdpc	AUPBDPC	scrape
m02315	Repeat:	jalapeño naïve	jalapeño naïve	vendor_a
m02316	UPPERCASE:	rotbbenm	ROTBBENM	scrape
m02317	Repeat:	"she said ""über a"""	"she said ""über a"""	vendor_b
m02318	Reverse:	clraoe	eoarlc	vendor_b
m02319	Length:	upbeaootryk	11	vendor_b
m02320	REVERSE:	aihrv	vrhia	scrape

m02321	  Sort letters: 	wqax	aqwx	vendor_b
m02322	Reverse:	khjsxhq		synthetic
m02323	Repeat:	reads jalapeño señor	reads jalapeño señor	synthetic
m02324	rEPEAT:	small a copy	small a copy	scrape
m02325	Sort letters:	jdppc	cdjpp	vendor_b
m02326	Sort letters:	xtp	ptx	vendor_a
m02327	Sort letters:	qldwwb	bdlqww	synthetic
m02328	Uppercase:	lphkwl	LPHKWL	vendor_a
m02329	UPPERCASE:	qazrtjyew	QAZRTJYEW	scrape
m02330	Sort letters:	btss	bsst	vendor_b
m02331	lENGTH:	fivyloiksm	10	scrape
m02332	Length:	errfnfbkeeye	12	vendor_a
m02333	Reverse:	xbugfjg	gjfgubx	synthetic
m02334	Reverse:	vbbtxg	gxtbbv	vendor_b
m02335	Length:	nsmmcjrrkxy	11	synthetic
m02336	Reverse:	vijxc	cxjiv	synthetic
m02337	rEVERSE:	sobsfhnx	xnhfsbos	scrape
m02338	Length:	zs	2	synthetic
m02339	Sort letters:	zkdx	dkxz	vendor_a
m02340	Repeat:	"she said ""single gradient a"""	"she said ""single gradient a"""	synthetic
m02341	Repeat:	"single	line exactly über token line the every batch batch"	"single	line exactly über token line the every batch batch"	vendor_a
m02342	Reverse:	dcka	akcd	
m02343	Repeat:	gradient back résumé déjà without line to batch a	gradient back résumé déjà without line to batch a	vendor_a
m02344	Reverse:	xgkwu	uwkgx	vendor_b
m02345	Length:	pyg	3	vendor_a
m02346	Sort letters:	ljcetk	cejklt	vendor_b
m02347	Sort letters:	bjolo	bjloo	scrape
m02348	Repeat:	it gradient	it gradient	vendor_b
m02349	Sort letters:	nnfzbjw	bfjnnwz	vendor_b
m02350	Reverse:	gcic	cicg	vendor_a
m02351	Uppercase:	vnebwe	VNEBWE	vendor_b
m02352	Reverse:	hkhdb	bdhkh	synthetic
m02353	Reverse:	lkttrs	srttkl	vendor_a
m02354	sORT LETTERS:	xbl
m02355	LENGTH:	yhi	3	scrape
m02356	Uppercase:	imcgifv	IMCGIFV	synthetic
m02357	Reverse:	cawwlbc	cblwwac	vendor_a
m02358	Repeat:	character café exactly a and token parser it reads	character café exactly a and token parser it reads	vendor_a
m02359	Sort letters:	oodda​	addoo	synthetic
m02360	Repeat:	"data	señor naïve the jalapeño data café without and"	"data	señor naïve the jalapeño data café without and"	vendor_a
m02361	Reverse:	bdmnewrp	prwenmdb	synthetic
m02362	Sort letters:	vmjiq	ijmqv	vendor_a
m02363	  Length: 	flxozgpepf	10	vendor_b
m02364	SORT LETTERS:	wpirwse	eiprsww	scrape
m02365	Sort letters:	ymd	dmy	vendor_b
m02366	Reverse:	bnt	tnb	vendor_a
m02367	Reverse:	tdh	hdt	vendor_b
m02368	Length:	uopq	4	synthetic
m02369	Length:	bkv	3	vendor_b
m02370	Sort letters:	bhnzni	bhinnz	vendor_a
m02371	Sort letters:	uwrtpa	aprtuw	vendor_a
m02372	Repeat:	back it small loss exactly small text naïve a résumé	back it small loss exactly small text naïve a résumé	synthetic
m02373	Reverse:	purmiglp	plgimrup	synthetic
m02374	Reverse:	xdrbkvq	qvkbrdx	vendor_b
m02375	Length:	klek	4	vendor_b
m02376	Sort  letters:	laqvtvek	aeklqtvv	scrape
m02377	rEVERSE:	rpazxge	egxzapr	scrape
m02378	Sort letters:	reshcrbx	bcehrrsx	synthetic
m02379	Sort letters:	ymyuu	muuyy	vendor_b
m02380	Length:	sofrmwslhepo	12	vendor_b
m02381	Sort letters:	twpbyjw	bjptwwy	synthetic
m02382	uPPERCASE:	lzthwj	LZTHWJ	scrape
m02383	Repeat:	über model	über model	vendor_a
m02384	Sort letters:	xnegiy	eginxy	scrape
m02385	Repeat:	"she said ""line gradient über small naïve model exactly loss and"""	"she said ""line gradient über small naïve model exactly loss and"""	vendor_b
m02386	lENGTH:	ivws	4	scrape
m02387	Count vowels:	winw	1	synthetic
m02388	lENGTH:	smxv	4	scrape
m02389	REVERSE:	btsfojzn	nzjofstb	scrape
m02390	Length:	lfnqhicvgeh	11	vendor_b
m02391	Uppercase:	ngx	NGX	vendor_a
m02392	Uppercase:	unphybe	UNPHYBE	synthetic
m02393	lENGTH:	tph	3	scrape
m02394	Sort letters:	wslbjf	bfjlsw	vendor_b
m02395	sort letters:	nuldif	dfilnu	scrape
m02396	Count vowels:	uiyaypd	3	synthetic
m02397	uppercase:	nayuq	NAYUQ	scrape
m02398	Repeat:	batch gradient	batch gradient	vendor_b
m02399	Uppercase:	oyo	OYO	synthetic
m02400	Reverse:	ruc	cur	synthetic
m02401	Uppercase:	atwy	ATWY	vendor_a
m02402	Sort letters:	dwbur	bdruw	synthetic
m02403	uppercase:	jlelpxn	JLELPXN	scrape
m02404	SORT LETTERS:	cege	ceeg	scrape
m02405	Uppercase:	zvcxqmvkm	ZVCXQMVKM	vendor_b
m02406	Reverse:	pvphwhaq		synthetic
m02407	Sort letters:	czsglxm	cglmsxz	synthetic
m02408	Sort letters:	szrywx	rswxyz	synthetic
m02409	Sort letters:	bwqu	bquw	synthetic
m02410	Sort letters:	sarndm	admnrs	vendor_a
m02411	Count vowels:	jodjq	1	vendor_b
m02412	Reverse:	gnmtq	qtmng	vendor_b
m02413	Reverse:	kudnro	ornduk	synthetic
m02414	uPPERCASE:	wrqvb	WRQVB	scrape
m02415	Sort letters:	exy	exy	synthetic
m02416	Length:	dpmwvjd	7	synthetic
m02417	Reverse:	pliq	qilp	vendor_b
m02418	Sort letters:	yjgtcqwp	cgjpqtwy	vendor_a
m02419	Sort  letters:	rbwjvaek	abejkrvw	scrape
m02420	Repeat:	exactly batch text	exactly batch text	vendor_b
m02421	Uppercase:	xjv	XJV	vendor_a
m02422	uPPERCASE:	owyish	OWYISH	scrape
m02423	Repeat:	reads of back naïve quick loss café line a batch	reads of back naïve quick loss café line a batch	synthetic
m02424	Reverse:	lpqiqk	kqiqpl	vendor_a
m02425	Repeat:	"it	résumé gradient"	"it	résumé gradient"	synthetic
m02426	SORT LETTERS:	nfzerrrz	efnrrrzz	scrape
m02427	Repeat:	and café	and café	synthetic
m02428	Length:	jzcz	4	vendor_b
m02429	Count vowels:	xpafhufiud	4	vendor_a
m02430	sort letters:	navww	anvww	scrape
m02431	Count vowels:	fxuvopqq
m02432	rEVERSE:	xgkwu	uwkgx	scrape
m02433	reverse:	bdmnewrp	prwenmdb	scrape
m02434	REVERSE:	jqudghx	xhgduqj	scrape
m02435	Sort letters:	dfq	dfq	synthetic
